game,date,result and moneyline
162,Sunday Oct 3,W 154
161,Saturday Oct 2,L 165
160,Friday Oct 1,W 146
159,Thursday Sep 30,L -141
158,Wednesday Sep 29,W 109
157,Tuesday Sep 28,L -109
156,Sunday Sep 26,L -134
155,Saturday Sep 25,W 135
154,Friday Sep 24,L 122
153,Thursday Sep 23,W 137
152,Wednesday Sep 22,L 173
151,Tuesday Sep 21,L 166
150,Monday Sep 20,L 180
149,Sunday Sep 19,L 115
148,Saturday Sep 18,L 106
147,Friday Sep 17,L 121
146,Thursday Sep 16,W 155
145,Wednesday Sep 15,W 187
144,Tuesday Sep 14,L 240
143,Sunday Sep 12,L 247
142,Saturday Sep 11,W 204
141,Friday Sep 10,L 177
140,Wednesday Sep 8,L 247
139,Tuesday Sep 7,W 268
138,Monday Sep 6,L -141
137,Sunday Sep 5,L -122
136,Saturday Sep 4,W -151
135,Friday Sep 3,W -179
134,Wednesday Sep 1,L 240
133,Tuesday Aug 31,W 176
132,Monday Aug 30,W 170
131,Saturday Aug 28,W 117
130,Friday Aug 27,L 174
129,Thursday Aug 26,L -104
128,Wednesday Aug 25,L -209
127,Tuesday Aug 24,W -124
126,Sunday Aug 22,L 109
125,Saturday Aug 21,L 116
124,Friday Aug 20,L 110
123,Thursday Aug 19,W -111
122,Wednesday Aug 18,W -128
121,Tuesday Aug 17,W 129
120,Monday Aug 16,L 251
119,Sunday Aug 15,W 175
118,Saturday Aug 14,L 186
117,Friday Aug 13,L 124
116,Thursday Aug 12,W 116
115,Wednesday Aug 11,L 165
114,Tuesday Aug 10 (2),L 158
113,Tuesday Aug 10 (1),W 149
112,Sunday Aug 8,L 294
111,Saturday Aug 7,L 326
110,Friday Aug 6,W 191
109,Thursday Aug 5,W -101
108,Wednesday Aug 4,W -168
107,Tuesday Aug 3,W -128
106,Monday Aug 2,L -100
105,Sunday Aug 1,L -115
104,Saturday Jul 31,W 135
103,Friday Jul 30,L 105
102,Thursday Jul 29,L 136
101,Wednesday Jul 28,W -211
100,Tuesday Jul 27,L -131
99,Monday Jul 26,W -151
98,Sunday Jul 25,W 107
97,Saturday Jul 24,W 110
96,Friday Jul 23,L 100
95,Thursday Jul 22,W 108
94,Tuesday Jul 20,L 138
93,Monday Jul 19,L 108
92,Sunday Jul 18,L -134
91,Saturday Jul 17,W -136
90,Friday Jul 16,L -154
89,Sunday Jul 11,W 104
88,Saturday Jul 10,L -109
87,Friday Jul 9,L -122
86,Wednesday Jul 7,W 115
85,Tuesday Jul 6,W 101
84,Monday Jul 5,L 116
83,Sunday Jul 4,W -230
82,Saturday Jul 3,W -204
81,Friday Jul 2,W -180
80,Wednesday Jun 30,W 103
79,Tuesday Jun 29,L 145
78,Monday Jun 28,W 147
77,Sunday Jun 27,W 138
76,Saturday Jun 26,L 137
75,Friday Jun 25,L 151
74,Wednesday Jun 23,L 108
73,Tuesday Jun 22,L -127
72,Sunday Jun 20,L -155
71,Saturday Jun 19,W -195
70,Friday Jun 18,W -207
69,Thursday Jun 17,W -218
68,Wednesday Jun 16,L 109
67,Tuesday Jun 15,L 115
66,Monday Jun 14,L 130
65,Sunday Jun 13,W -127
64,Saturday Jun 12,W -117
63,Friday Jun 11,W -141
62,Wednesday Jun 9,W -152
61,Tuesday Jun 8,W -162
60,Monday Jun 7,W -144
59,Sunday Jun 6,L -155
58,Saturday Jun 5,W -151
57,Friday Jun 4,W -160
56,Thursday Jun 3,L -155
55,Tuesday Jun 1,W 139
54,Monday May 31,L 137
53,Sunday May 30,W 122
52,Saturday May 29,W 126
51,Friday May 28,L 134
50,Thursday May 27,L 180
49,Wednesday May 26,W 103
48,Tuesday May 25,W -171
47,Sunday May 23,W 111
46,Saturday May 22,L 119
45,Friday May 21,L -109
44,Thursday May 20 (2),L 105
43,Thursday May 20 (1),W -108
42,Wednesday May 19,L -119
41,Tuesday May 18,L -111
40,Monday May 17,W -141
39,Sunday May 16,W 141
38,Saturday May 15,L -113
37,Friday May 14,L -100
36,Wednesday May 12,L 149
35,Tuesday May 11,L 134
34,Monday May 10,W 161
33,Sunday May 9,W 169
32,Saturday May 8,L 133
31,Friday May 7,W 156
30,Thursday May 6,L -148
29,Wednesday May 5,L 100
28,Tuesday May 4,L -113
27,Monday May 3,L 136
26,Sunday May 2,L -155
25,Saturday May 1,W -135
24,Friday Apr 30,L -152
23,Wednesday Apr 28,W -129
22,Tuesday Apr 27,L -153
21,Monday Apr 26,W -163
20,Sunday Apr 25,W 127
19,Saturday Apr 24,L 137
18,Friday Apr 23,L 146
17,Thursday Apr 22,L 114
16,Wednesday Apr 21,L -171
15,Tuesday Apr 20,W -177
14,Monday Apr 19,L -215
13,Friday Apr 16,W -129
12,Wednesday Apr 14,L -122
11,Tuesday Apr 13,L -128
10,Monday Apr 12,W -115
9,Saturday Apr 10,L -101
8,Friday Apr 9,W -123
7,Thursday Apr 8,W -101
6,Tuesday Apr 6,L -106
5,Monday Apr 5,W -109
4,Sunday Apr 4,W -123
3,Saturday Apr 3,W 105
2,Friday Apr 2,L -115
1,Thursday Apr 1,W 106
